id,message,created_time,comments_count,shares_count,likes,love_count,haha_count,wow_count,sad_count,angry_count
,,,,,,,,,,
,反年改團體「八百壯士」今日發起抗議，還嗆「不殺人不流血，革命不會成功！殺一個是一個。」,11月13日,219,384,2498,22,99,59,5,57
,"【反年改退休教師 vs. 一般台灣人】
你的小孩要進修所以不能砍退休金，一般人辛苦工作還學貸；
你退休要花20萬去美國玩，一般人努力賺錢沒時間陪家人。
呼籲別人對反年改有同理心，請先站在一般台灣人的立場好嗎？
#反年改要旅遊
#啃語錄
#禮拜一賭爛片
啃新聞：
年改需同理心？ 退休師：要花20萬到美國玩15天...
http://news.ltn.com.tw/news/politics/breakingnews/2042583","
4月24日 ",85,302,701,2,61,18,23,315
,"【反年改團體世大運抗議》一個高中老師：錯不在我們，改變不了我們是既得利益者的事實！】
政府沒有在一開始考量周全，設計出了一個有問題會發生世代剝奪的制度，當然不是我們這些身在其中的人的錯！
但是如果我們已經看出了問題點所在，卻又沒有任何作為，那真的就是我們的錯誤了。
事實很簡單，純粹就是我們軍公教繳入退撫基金的錢太少，退休時領出來的錢卻太多了...??",8月21日?,77,174,1372,29,18,22,6,13
,李來希：如果問題不解決，不只開幕式和閉幕式，世大運結束後，抗爭一樣會遍地開花，跟到政客下台為止。,8月22日?,777,46,1660,24,37,247,11,1572
,"「是的，我爭的就是自己的私利。」
#反年改 #閉幕式 #取消抗議 #道歉 #YVD",8月25日?,426,41,1585,15,265,28,7,719
,"便當真的很重要
#反年改 #司法 #年金改革 #YFB",4月29日,241,26,827,16,34,567,1,111
,"他貼出美國之音報導讚美報導客觀，並要酸民閉嘴
#李來希 #反年改 #世大運開幕儀式",8月20日,683,95,1569,14,182,25,11,1392
,"衝鋒槍！！！ #邊編
蔡英文 Tsai Ing-wen #維安 #衝鋒槍 #反年改",7月12日?,307,68,1612,16,297,67,9,254
,"「你們這些『出口成髒』的小屁孩，根本連站在他褲襠下幫他把屎把尿的資格，都沒有！」
羅友志oo有事找友志 #反年改",8月24日?,228,24,749,2,60,9,4,153
,"「我們不是推擠，是幫中華隊加油；跟警方是意外小插曲；拍打玻璃？外國選手還比讚，是一個互相，大家在打招呼的樣子」
#反年改 #抗議 #真的是這樣嗎 #YVD",8月21日?,407,72,355,1,219,24,7,704
,"你好凶，我好怕。
一個總統，做到要用「火力」來恐嚇抗議群眾，也算夠悲哀的了。
總統維安可以配槍，這一點沒有太大問題。但我反對的是刻意汙名化的這種「恐嚇」民眾的態度。",7月13日,578,464,4225,14,585,152,79,1249
,【年改抗議】LIVE抗議軍人年金改革，「八百壯士」等團體號召上街頭抗議，集結後將統一走至行政院抗議，而警方從今晚8點開始，在總統府和行政院周邊將陸續進行交通管制！,11月13日,256,38,793,33,27,5,10,74
,"反年改好像在和小英玩「老鷹抓小雞」啊～ 只是此鷹非彼英啊…
.
反年改汽笛齊發迎接 小英車隊改走地下車道閃避",7月17日?,290,91,1168,15,445,20,12,187
,"反年改團體到世大運開幕典禮抗議，導致多國選手無法進場，你想說的是＿＿。
請留言表達你的看法，或是：
抗爭是合理的→按讚
選手辛苦了→按哭
反年改團體太超過→按怒",8月20日?,161,3,586,3,22,4,154,1757
,【年改抗議LIVE】抗議軍人年金改革，「八百壯士」等團體再度號召上街頭，今日上午將帶隊遊行至總統府抗議，並要求政府勿逼退伍軍人走上絕路。,11月14日,642,93,856,63,17,10,17,63
,今天的「蘋論」，對國民黨在整個年金改革的角色、年改的原因、社會多數人的認知，算是相當中肯的評論，定宇推薦給朋友們，值得一早閱讀和分享！,6月24日?,52,84,2258,22,25,2,1,2
,"為什麼還不傳喚我出庭？
去年12月31日第一次年金改革分區座談，胡筑生將軍起訴後無罪；今年3月7日考試院公聽會滋擾事件，我們的夥伴們無罪確定；接著4月19日我們的7位夥伴們判決免罰，相信主政集團不敢上訴；因為法院判決說：言論自由是人民的基本權利，國家應給與最大限度的維護，俾讓人民能實現自我，追求真理，維護權益，監督各種政治或社會活動。善哉斯言！我是28寇的首謀，我的案件到現在為止，法院都還沒有傳喚，怎麼夥伴們的判決就下來了，為什麼？",7月16日,26,77,1101,33,14,4,2,34
,"【反年改群眾堵車隊　拍打總統座車】
總統蔡英文出席國防大學畢業典禮，不過總統車隊一度受困在路中央達3分鐘，因為反年改的群眾號召民眾現場抗議。",6月30日,251,343,5413,25,542,98,5,40
,上百人衝破第一道封鎖線 #反年改 #陳情書,7月20日?,330,304,5186,42,961,158,16,105
,「退休領9萬月俸嘆買不起蔥。」 亮了。,11月5日,615,177,1441,12,511,87,19,902
,「我們都訓練了這麼久結果卻不能如預期進場...真的很生氣...」,8月20日?,326,50,2661,8,61,39,498,1488
,恐攻！？,7月12日?,249,198,1071,8,299,66,29,702
,抗議年金改革現場！反年改團體「夜宿圍城，年改決戰在即」活動直播,4月18日?,195,54,994,39,13,15,2,45
,"【客座專欄作家／徐巧芯】
台北市長柯文哲以一句「你和那些反年改團體」獲得超過40萬網友按讚，大家覺得這樣做恰當嗎？",8月23日?,1519,82,4896,65,458,22,11,268
,【小英總統南下屏東遭抗議人士嗆聲現場畫面】,7月20日?,71,42,1281,25,170,18,3,10
